| Max Iteration   | Current Iteration  | Residual Value     | Tolerance Value  |
| 100             | 1                  | 1.2000000000       | 0.0000000001     |
| 100             | 2                  | 0.2400000000       | 0.0000000001     |
| 100             | 3                  | 0.0480000000       | 0.0000000001     |
| 100             | 4                  | 0.0096000000       | 0.0000000001     |
| 100             | 5                  | 0.0019200000       | 0.0000000001     |
| 100             | 6                  | 0.0003840000       | 0.0000000001     |
| 100             | 7                  | 0.0000768000       | 0.0000000001     |
| 100             | 8                  | 0.0000153600       | 0.0000000001     |
| 100             | 9                  | 0.0000030720       | 0.0000000001     |
| 100             | 10                 | 0.0000006144       | 0.0000000001     |
| 100             | 11                 | 0.0000001229       | 0.0000000001     |
| 100             | 12                 | 0.0000000246       | 0.0000000001     |
| 100             | 13                 | 0.0000000049       | 0.0000000001     |
| 100             | 14                 | 0.0000000010       | 0.0000000001     |
| 100             | 15                 | 0.0000000002       | 0.0000000001     |
| 100             | 16                 | 0.0000000000       | 0.0000000001     |
